Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;06 Cantabria;General;Índice;2019T1;116,109
Nacional;06 Cantabria;General;Índice;2018T4;114,568
Nacional;06 Cantabria;General;Índice;2018T3;113,896
Nacional;06 Cantabria;General;Índice;2018T2;113,437
Nacional;06 Cantabria;General;Índice;2018T1;109,851
Nacional;06 Cantabria;General;Índice;2017T4;107,841
Nacional;06 Cantabria;General;Índice;2017T3;107,781
Nacional;06 Cantabria;General;Índice;2017T2;107,221
Nacional;06 Cantabria;General;Índice;2017T1;103,888
Nacional;06 Cantabria;General;Índice;2016T4;103,263
Nacional;06 Cantabria;General;Índice;2016T3;103,053
Nacional;06 Cantabria;General;Índice;2016T2;102,975
Nacional;06 Cantabria;General;Índice;2016T1;100,898
Nacional;06 Cantabria;General;Índice;2015T4;100,895
Nacional;06 Cantabria;General;Índice;2015T3;102,302
Nacional;06 Cantabria;General;Índice;2015T2;100,838
Nacional;06 Cantabria;General;Índice;2015T1;95,965
Nacional;06 Cantabria;General;Índice;2014T4;98,946
Nacional;06 Cantabria;General;Índice;2014T3;97,639
Nacional;06 Cantabria;General;Índice;2014T2;95,972
Nacional;06 Cantabria;General;Índice;2014T1;96,287
