País de nacimiento;Grupo quinquenal de edad;Sexo;Periodo;Total
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2004;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2004;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2004;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2003;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2003;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2003;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2003;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2002;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2002;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2002;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2002;""
UE28 sin España;Todas las edades;Total;1 de enero de 2025;""
UE28 sin España;Todas las edades;Total;1 de octubre de 2024;""
UE28 sin España;Todas las edades;Total;1 de julio de 2024;""
UE28 sin España;Todas las edades;Total;1 de abril de 2024;""
UE28 sin España;Todas las edades;Total;1 de enero de 2024;""
UE28 sin España;Todas las edades;Total;1 de octubre de 2023;""
UE28 sin España;Todas las edades;Total;1 de julio de 2023;""
UE28 sin España;Todas las edades;Total;1 de abril de 2023;""
UE28 sin España;Todas las edades;Total;1 de enero de 2023;""
UE28 sin España;Todas las edades;Total;1 de octubre de 2022;""
UE28 sin España;Todas las edades;Total;1 de julio de 2022;""
UE28 sin España;Todas las edades;Total;1 de abril de 2022;""
UE28 sin España;Todas las edades;Total;1 de enero de 2022;""
UE28 sin España;Todas las edades;Total;1 de octubre de 2021;""
UE28 sin España;Todas las edades;Total;1 de julio de 2021;""
UE28 sin España;Todas las edades;Total;1 de abril de 2021;""
UE28 sin España;Todas las edades;Total;1 de enero de 2021;""
UE28 sin España;Todas las edades;Total;1 de octubre de 2020;""
UE28 sin España;Todas las edades;Total;1 de julio de 2020;""
UE28 sin España;Todas las edades;Total;1 de abril de 2020;""
UE28 sin España;Todas las edades;Total;1 de enero de 2020;1.844.603
UE28 sin España;Todas las edades;Total;1 de octubre de 2019;""
UE28 sin España;Todas las edades;Total;1 de julio de 2019;1.839.794
UE28 sin España;Todas las edades;Total;1 de abril de 2019;""
UE28 sin España;Todas las edades;Total;1 de enero de 2019;1.829.557
UE28 sin España;Todas las edades;Total;1 de octubre de 2018;""
UE28 sin España;Todas las edades;Total;1 de julio de 2018;1.818.865
UE28 sin España;Todas las edades;Total;1 de abril de 2018;""
UE28 sin España;Todas las edades;Total;1 de enero de 2018;1.831.673
UE28 sin España;Todas las edades;Total;1 de octubre de 2017;""
UE28 sin España;Todas las edades;Total;1 de julio de 2017;1.835.087
UE28 sin España;Todas las edades;Total;1 de abril de 2017;""
UE28 sin España;Todas las edades;Total;1 de enero de 2017;1.859.336
UE28 sin España;Todas las edades;Total;1 de octubre de 2016;""
UE28 sin España;Todas las edades;Total;1 de julio de 2016;1.870.940
UE28 sin España;Todas las edades;Total;1 de abril de 2016;""
UE28 sin España;Todas las edades;Total;1 de enero de 2016;1.888.728
UE28 sin España;Todas las edades;Total;1 de octubre de 2015;""
UE28 sin España;Todas las edades;Total;1 de julio de 2015;1.903.112
UE28 sin España;Todas las edades;Total;1 de abril de 2015;""
UE28 sin España;Todas las edades;Total;1 de enero de 2015;1.928.391
UE28 sin España;Todas las edades;Total;1 de octubre de 2014;""
UE28 sin España;Todas las edades;Total;1 de julio de 2014;1.956.375
UE28 sin España;Todas las edades;Total;1 de abril de 2014;""
UE28 sin España;Todas las edades;Total;1 de enero de 2014;1.992.264
UE28 sin España;Todas las edades;Total;1 de octubre de 2013;""
UE28 sin España;Todas las edades;Total;1 de julio de 2013;2.031.354
UE28 sin España;Todas las edades;Total;1 de abril de 2013;""
UE28 sin España;Todas las edades;Total;1 de enero de 2013;2.079.802
UE28 sin España;Todas las edades;Total;1 de octubre de 2012;""
UE28 sin España;Todas las edades;Total;1 de julio de 2012;2.108.527
UE28 sin España;Todas las edades;Total;1 de abril de 2012;""
UE28 sin España;Todas las edades;Total;1 de enero de 2012;2.136.613
UE28 sin España;Todas las edades;Total;1 de octubre de 2011;""
UE28 sin España;Todas las edades;Total;1 de julio de 2011;2.120.397
UE28 sin España;Todas las edades;Total;1 de abril de 2011;""
UE28 sin España;Todas las edades;Total;1 de enero de 2011;2.112.498
UE28 sin España;Todas las edades;Total;1 de octubre de 2010;""
UE28 sin España;Todas las edades;Total;1 de julio de 2010;2.109.422
UE28 sin España;Todas las edades;Total;1 de abril de 2010;""
UE28 sin España;Todas las edades;Total;1 de enero de 2010;2.114.321
UE28 sin España;Todas las edades;Total;1 de octubre de 2009;""
UE28 sin España;Todas las edades;Total;1 de julio de 2009;2.113.934
UE28 sin España;Todas las edades;Total;1 de abril de 2009;""
UE28 sin España;Todas las edades;Total;1 de enero de 2009;2.116.623
UE28 sin España;Todas las edades;Total;1 de octubre de 2008;""
UE28 sin España;Todas las edades;Total;1 de julio de 2008;2.090.956
UE28 sin España;Todas las edades;Total;1 de abril de 2008;""
UE28 sin España;Todas las edades;Total;1 de enero de 2008;2.039.479
UE28 sin España;Todas las edades;Total;1 de octubre de 2007;""
UE28 sin España;Todas las edades;Total;1 de julio de 2007;1.900.814
UE28 sin España;Todas las edades;Total;1 de abril de 2007;""
UE28 sin España;Todas las edades;Total;1 de enero de 2007;1.738.465
UE28 sin España;Todas las edades;Total;1 de octubre de 2006;""
UE28 sin España;Todas las edades;Total;1 de julio de 2006;1.605.282
UE28 sin España;Todas las edades;Total;1 de abril de 2006;""
UE28 sin España;Todas las edades;Total;1 de enero de 2006;1.500.800
UE28 sin España;Todas las edades;Total;1 de octubre de 2005;""
UE28 sin España;Todas las edades;Total;1 de julio de 2005;1.398.430
UE28 sin España;Todas las edades;Total;1 de abril de 2005;""
UE28 sin España;Todas las edades;Total;1 de enero de 2005;1.284.496
UE28 sin España;Todas las edades;Total;1 de octubre de 2004;""
UE28 sin España;Todas las edades;Total;1 de julio de 2004;1.152.917
UE28 sin España;Todas las edades;Total;1 de abril de 2004;""
UE28 sin España;Todas las edades;Total;1 de enero de 2004;1.066.882
UE28 sin España;Todas las edades;Total;1 de octubre de 2003;""
UE28 sin España;Todas las edades;Total;1 de julio de 2003;974.713
UE28 sin España;Todas las edades;Total;1 de abril de 2003;""
UE28 sin España;Todas las edades;Total;1 de enero de 2003;893.791
UE28 sin España;Todas las edades;Total;1 de octubre de 2002;""
UE28 sin España;Todas las edades;Total;1 de julio de 2002;802.400
UE28 sin España;Todas las edades;Total;1 de abril de 2002;""
UE28 sin España;Todas las edades;Total;1 de enero de 2002;724.019
Bélgica;Todas las edades;Total;1 de enero de 2025;56.924
Bélgica;Todas las edades;Total;1 de octubre de 2024;56.549
Bélgica;Todas las edades;Total;1 de julio de 2024;55.669
Bélgica;Todas las edades;Total;1 de abril de 2024;55.233
Bélgica;Todas las edades;Total;1 de enero de 2024;54.776
Bélgica;Todas las edades;Total;1 de octubre de 2023;54.576
